dossier_id,nom,prenom,sexe,date_naissance,lieu_naissance,numero_cnib,numero_telephone,date_entretien
BRK-2026-000046,Zoungrana,Awa,F,2002-10-23,Tenkodogo,B61227242,+226 76 83 92 68,2026-07-21
BRK-2026-000047,Zoungrana,Rasmata,F,1980-07-02,Ouahigouya,B30723383,+226 74 19 42 15,2026-08-07
BRK-2026-000048,Zoungrana,Rasmata,F,1989-02-20,Gaoua,B91073589,+226 78 49 93 30,2026-08-25
BRK-2026-000049,Traoré,Amadou,M,1988-08-01,Ziniaré,B38184828,+226 75 11 29 95,2026-08-27
BRK-2026-000050,Nikiema,Zakaria,M,1992-10-05,Kaya,B13754616,+226 76 61 71 25,2026-09-01
BRK-2026-000051,Sana,Korotimi,F,1998-12-03,Diébougou,B48511487,+226 72 69 16 88,2026-07-19
BRK-2026-000052,Zongo,Alimata,F,1985-06-11,Kaya,B32358358,+226 78 91 57 56,2026-07-12
BRK-2026-000053,Kafando,Rasmata,F,2005-01-29,Gaoua,B22831988,+226 70 20 59 50,2026-07-25
BRK-2026-000054,Yaméogo,Sibiri,M,1992-07-09,Pouytenga,B12911804,+226 78 49 86 91,2026-08-06
BRK-2026-000055,Somé,Awa,F,1981-10-19,Manga,B72819606,+226 78 17 10 11,2026-07-18
BRK-2026-000056,Kaboré,Rasmata,F,1989-08-31,Réo,B24299366,+226 74 83 95 13,2026-07-27
BRK-2026-000057,Kaboré,Rasmata,F,1999-11-20,Gourcy,B54758129,+226 71 52 35 97,2026-07-30
BRK-2026-000058,Ouattara,Rasmané,M,1993-12-15,Dédougou,B24540140,+226 78 78 73 96,2026-07-31
BRK-2026-000059,Tapsoba,Boureima,M,1992-06-14,Réo,B64478799,+226 70 80 26 43,2026-08-05
BRK-2026-000060,Kagambega,Drissa,M,1977-06-18,Ouahigouya,B62270946,+226 76 51 91 30,2026-07-13
BRK-2026-000061,Dabiré,Wendkuni,F,2000-06-20,Gaoua,B83082610,+226 75 44 86 22,2026-08-16
BRK-2026-000062,Compaoré,Drissa,M,1975-10-15,Ouagadougou,B22592943,+226 71 68 77 96,2026-07-16
BRK-2026-000063,Congo,Sibiri,M,1989-11-29,Diébougou,B23849372,+226 77 64 55 72,2026-08-10
BRK-2026-000064,Ilboudo,Rasmata,F,1994-07-31,Boromo,B79176422,+226 77 27 58 65,2026-07-22
BRK-2026-000065,Ouédraogo,Awa,F,1976-04-22,Diébougou,B46186332,+226 77 65 20 70,2026-07-10
BRK-2026-000066,Sawadogo,Rihanata,F,1982-04-01,Banfora,B81643252,+226 71 93 79 19,2026-07-29
BRK-2026-000067,Congo,Idrissa,M,1984-04-08,Diébougou,B67128994,+226 77 13 26 90,2026-08-21
BRK-2026-000068,Tapsoba,Sita,F,1990-08-05,Kaya,B99782597,+226 74 13 91 45,2026-07-16
BRK-2026-000069,Ilboudo,Zakaria,M,1988-02-18,Yako,B79762823,+226 72 31 20 97,2026-08-28
BRK-2026-000070,Zoungrana,Amadou,M,1985-04-25,Gourcy,B51324864,+226 74 27 69 91,2026-09-01
BRK-2026-000071,Yaméogo,Alimata,F,1994-08-05,Boromo,B91300794,+226 76 11 92 26,2026-07-22
BRK-2026-000072,Ouédraogo,Rasmané,M,1995-10-17,Kaya,B51766805,+226 74 13 23 94,2026-08-02
BRK-2026-000073,Sawadogo,Mariam,F,1963-01-07,Dédougou,B13711409,+226 76 14 19 71,2026-08-27
BRK-2026-000074,Bationo,Salimata,F,1985-07-06,Gaoua,B48304678,+226 74 64 65 79,2026-07-30
BRK-2026-000075,Sana,Nafissatou,F,2000-07-03,Boromo,B12379225,+226 76 72 44 27,2026-08-11
BRK-2026-000076,Compaoré,Awa,F,1987-04-30,Dédougou,B16003629,+226 72 15 19 28,2026-08-01
BRK-2026-000077,Sawadogo,Boureima,M,1992-02-16,Réo,B48145976,+226 71 44 48 41,2026-08-20
BRK-2026-000078,Kafando,Hamidou,M,1972-05-06,Pouytenga,B35104807,+226 74 28 71 82,2026-08-24
BRK-2026-000079,Kaboré,Salimata,F,1983-08-14,Ouahigouya,B36487197,+226 71 18 22 38,2026-08-20
BRK-2026-000080,Kaboré,Mariam,F,1998-06-09,Réo,B26498905,+226 76 73 18 10,2026-08-17
BRK-2026-000081,Bationo,Alimata,F,1990-08-05,Bobo-Dioulasso,B64982825,+226 74 56 97 38,2026-07-27
BRK-2026-000082,Nikiema,Rihanata,F,1998-06-27,Fada N'Gourma,B69020889,+226 71 39 76 68,2026-09-01
BRK-2026-000083,Kafando,Habibata,F,2006-08-25,Kaya,B56668918,+226 72 52 37 77,2026-08-02
BRK-2026-000084,Sana,Drissa,M,1993-02-15,Diébougou,B10252657,+226 72 41 98 71,2026-08-14
BRK-2026-000085,Somé,Amadou,M,1982-01-01,Gaoua,B16144177,+226 75 40 37 75,2026-07-25
BRK-2026-000086,Ouattara,Salif,M,1986-02-17,Banfora,B89953848,+226 71 67 72 47,2026-07-30
BRK-2026-000087,Bationo,Moussa,M,1998-08-04,Gourcy,B86319684,+226 74 77 55 33,2026-07-18
BRK-2026-000088,Kafando,Aminata,F,1990-05-24,Manga,B41409263,+226 72 37 71 21,2026-08-10
BRK-2026-000089,Nikiema,Abdoulaye,M,1986-01-01,Dori,B65176943,+226 70 92 36 54,2026-08-17
BRK-2026-000090,Somé,Djénéba,F,1983-06-14,Banfora,B93727799,+226 72 67 36 81,2026-08-27
BRK-2026-000091,Tapsoba,Korotimi,F,1981-07-07,Dori,B47679846,+226 74 88 83 93,2026-07-14
BRK-2026-000092,Ouédraogo,Clarisse,F,1991-03-18,Diébougou,B33791899,+226 75 34 66 20,2026-08-13
BRK-2026-000093,Sawadogo,Awa,F,1979-10-02,Réo,B97623122,+226 72 74 71 55,2026-08-14
BRK-2026-000094,Dabiré,Bintou,F,1988-05-27,Nouna,B92379821,+226 70 88 80 71,2026-07-28
BRK-2026-000095,Compaoré,Salimata,F,1996-09-02,Dori,B63394635,+226 70 31 45 58,2026-08-07
BRK-2026-000096,Dabiré,Issouf,M,1987-06-05,Manga,B42500902,+226 72 61 11 57,2026-08-27
BRK-2026-000097,Bationo,Sibiri,M,1979-04-04,Ouagadougou,B43400211,+226 76 77 27 64,2026-07-27
BRK-2026-000098,Kafando,Rasmata,F,1986-05-09,Kaya,B88098486,+226 71 16 46 61,2026-07-26
BRK-2026-000099,Ouattara,Drissa,M,1995-04-19,Tenkodogo,B61218193,+226 70 13 13 85,2026-08-22
BRK-2026-000100,Dabiré,Drissa,M,1988-11-14,Ouahigouya,B81873666,+226 70 71 95 16,2026-07-23
BRK-2026-000101,Sawadogo,Nafissatou,F,1982-12-29,Réo,B18226378,+226 74 30 60 95,2026-08-19
BRK-2026-000102,Bamogo,Hamidou,M,1993-07-26,Ouahigouya,B32915767,+226 71 27 53 41,2026-08-21
BRK-2026-000103,Kafando,Ibrahim,M,1991-11-09,Ouagadougou,B62892541,+226 76 59 46 77,2026-07-10
BRK-2026-000104,Congo,Fatimata,F,1994-08-09,Manga,B23987564,+226 72 73 85 80,2026-07-31
BRK-2026-000105,Zongo,Idrissa,M,1993-11-21,Ziniaré,B93035256,+226 71 51 86 20,2026-09-06
BRK-2026-000106,Sawadogo,Ousmane,M,1973-12-26,Yako,B76827279,+226 74 37 18 83,2026-08-11
BRK-2026-000107,Bamogo,Aminata,F,1972-04-30,Fada N'Gourma,B44040395,+226 72 42 83 56,2026-07-29
BRK-2026-000108,Tapsoba,Boukary,M,1982-02-04,Gourcy,B67701914,+226 78 19 29 32,2026-07-25
BRK-2026-000109,Bationo,Zenabou,F,1994-03-11,Bobo-Dioulasso,B92998796,+226 76 30 46 62,2026-07-09
BRK-2026-000110,Sana,Kadiatou,F,1987-11-19,Diébougou,B11597831,+226 76 49 38 52,2026-08-03
BRK-2026-000111,Ouédraogo,Clarisse,F,1991-05-01,Banfora,B40254471,+226 76 17 48 97,2026-08-21
BRK-2026-000112,Dabiré,Sita,F,1994-08-09,Gaoua,B51637674,+226 77 61 61 94,2026-08-24
BRK-2026-000113,Congo,Amadou,M,1987-02-19,Manga,B53706294,+226 72 54 28 11,2026-07-30
BRK-2026-000114,Yaméogo,Bintou,F,1998-05-04,Ouahigouya,B60476124,+226 70 58 94 56,2026-08-22
BRK-2026-000115,Traoré,Habibata,F,1983-12-16,Réo,B66590411,+226 78 90 16 77,2026-07-14
BRK-2026-000116,Congo,Salimata,F,1983-07-16,Gourcy,B74667562,+226 75 60 38 87,2026-07-20
BRK-2026-000117,Traoré,Adama,M,1989-01-13,Koudougou,B20815004,+226 70 20 53 26,2026-07-21
BRK-2026-000118,Compaoré,Zenabou,F,2002-07-31,Diébougou,B51907459,+226 74 60 18 41,2026-07-13
BRK-2026-000119,Ouédraogo,Sita,F,1989-02-25,Gaoua,B24926296,+226 78 94 64 75,2026-08-27
BRK-2026-000120,Ilboudo,Korotimi,F,1976-12-25,Diébougou,B66226167,+226 71 85 78 88,2026-08-04
BRK-2026-000121,Yaméogo,Rihanata,F,1983-01-23,Yako,B53684760,+226 75 39 14 46,2026-07-25
BRK-2026-000122,Sawadogo,Wendkuni,F,1962-01-28,Réo,B64885383,+226 76 19 71 35,2026-08-12
BRK-2026-000123,Kafando,Boureima,M,1991-02-24,Tenkodogo,B69924025,+226 70 38 49 24,2026-08-24
BRK-2026-000124,Compaoré,Rihanata,F,1999-10-30,Kaya,B34733601,+226 76 72 21 41,2026-09-06
BRK-2026-000125,Bationo,Korotimi,F,1978-06-28,Ziniaré,B24483267,+226 74 35 61 13,2026-08-07
BRK-2026-000126,Ouédraogo,Kadiatou,F,1986-03-13,Gourcy,B25762077,+226 76 69 30 48,2026-07-13
BRK-2026-000127,Congo,Aminata,F,1985-02-06,Ouagadougou,B41926095,+226 78 70 49 70,2026-08-11
BRK-2026-000128,Sawadogo,Seydou,M,1998-08-06,Banfora,B28198632,+226 77 87 18 29,2026-07-09
BRK-2026-000129,Bationo,Zenabou,F,1980-11-23,Ouagadougou,B14912060,+226 78 44 17 13,2026-07-14
BRK-2026-000130,Yaméogo,Salimata,F,1993-04-19,Yako,B38496324,+226 76 68 74 27,2026-09-05
BRK-2026-000131,Yaméogo,Karim,M,1975-08-15,Koudougou,B64553793,+226 75 97 28 35,2026-08-16
BRK-2026-000132,Congo,Adama,M,1977-12-05,Nouna,B90793460,+226 72 23 12 13,2026-09-04
BRK-2026-000133,Zoungrana,Bintou,F,1997-01-22,Ouagadougou,B91764829,+226 76 63 54 63,2026-07-20
BRK-2026-000134,Somé,Habibata,F,1995-08-22,Gaoua,B10468787,+226 72 55 22 68,2026-07-11
BRK-2026-000135,Congo,Alimata,F,1989-04-20,Gaoua,B10440329,+226 78 74 22 16,2026-08-14
BRK-2026-000136,Ouédraogo,Wendkuni,F,1975-08-31,Banfora,B90663115,+226 76 27 25 12,2026-09-01
BRK-2026-000137,Ilboudo,Ibrahim,M,1991-03-02,Pouytenga,B49536963,+226 71 57 49 60,2026-08-30
BRK-2026-000138,Zoungrana,Sibiri,M,1971-08-28,Dori,B92237914,+226 76 19 97 81,2026-07-31
BRK-2026-000139,Ouédraogo,Korotimi,F,1982-02-09,Pouytenga,B51728269,+226 77 25 19 23,2026-07-25
BRK-2026-000140,Zongo,Amadou,M,1991-04-23,Dédougou,B95909965,+226 78 46 34 86,2026-07-24
BRK-2026-000141,Tapsoba,Habibata,F,1986-03-14,Fada N'Gourma,B29100371,+226 77 86 42 87,2026-09-03
BRK-2026-000142,Nikiema,Hamidou,M,1993-09-08,Fada N'Gourma,B54288121,+226 75 67 20 91,2026-07-16
BRK-2026-000143,Somé,Salif,M,1990-08-26,Kaya,B69631127,+226 75 94 73 93,2026-08-28
BRK-2026-000144,Ouédraogo,Ibrahim,M,1990-01-23,Boromo,B10114850,+226 77 74 79 25,2026-08-13
BRK-2026-000145,Kagambega,Issouf,M,1996-10-16,Koudougou,B68712405,+226 74 91 67 18,2026-08-02
BRK-2026-000146,Kafando,Boureima,M,1994-08-18,Ouagadougou,B64802319,+226 71 96 65 88,2026-08-26
BRK-2026-000147,Kafando,Awa,F,1985-04-15,Réo,B65725665,+226 76 37 70 32,2026-07-21
BRK-2026-000148,Ouédraogo,Ibrahim,M,2001-01-27,Koudougou,B17610903,+226 70 45 10 59,2026-08-20
BRK-2026-000149,Congo,Djénéba,F,1991-10-16,Ziniaré,B64618829,+226 78 78 64 46,2026-08-20
BRK-2026-000150,Congo,Sita,F,1986-05-22,Nouna,B15706870,+226 76 15 79 89,2026-08-24
BRK-2026-000151,Somé,Korotimi,F,1988-11-15,Koudougou,B62742433,+226 78 97 93 42,2026-08-30
BRK-2026-000152,Nikiema,Kadiatou,F,1991-08-02,Yako,B35007174,+226 76 68 34 87,2026-08-22
BRK-2026-000153,Kagambega,Boukary,M,1989-03-17,Koudougou,B93193757,+226 74 13 57 47,2026-08-20
BRK-2026-000154,Congo,Assita,F,1996-01-18,Tenkodogo,B41559031,+226 72 62 39 60,2026-07-29
BRK-2026-000155,Traoré,Habibata,F,1990-03-11,Bobo-Dioulasso,B20864943,+226 70 74 25 20,2026-07-23
BRK-2026-000156,Ouédraogo,Assita,F,1981-09-03,Banfora,B99904258,+226 70 35 78 48,2026-07-24
BRK-2026-000157,Nikiema,Alimata,F,1996-06-16,Ziniaré,B38189652,+226 70 95 58 66,2026-07-11
BRK-2026-000158,Zoungrana,Habibata,F,1982-07-14,Dori,B68557144,+226 71 87 75 53,2026-08-13
BRK-2026-000159,Compaoré,Clarisse,F,1996-12-12,Pouytenga,B67753494,+226 78 26 49 85,2026-08-01
BRK-2026-000160,Kafando,Alimata,F,1992-02-07,Tenkodogo,B13071437,+226 70 70 47 13,2026-08-30
BRK-2026-000161,Ouattara,Issouf,M,1976-09-12,Ouagadougou,B32410913,+226 77 51 92 72,2026-07-25
BRK-2026-000162,Yaméogo,Idrissa,M,1978-06-05,Diébougou,B40485061,+226 77 39 43 20,2026-08-28
BRK-2026-000163,Zoungrana,Korotimi,F,1976-02-06,Ouahigouya,B58001292,+226 72 75 57 37,2026-08-07
BRK-2026-000164,Kaboré,Kadiatou,F,1980-06-30,Ouagadougou,B26033135,+226 78 23 43 49,2026-07-15
BRK-2026-000165,Sawadogo,Moussa,M,1981-10-22,Ouagadougou,B75530386,+226 75 71 10 40,2026-08-30
BRK-2026-000166,Zongo,Assita,F,1986-10-16,Fada N'Gourma,B69001716,+226 74 37 32 75,2026-08-12
BRK-2026-000167,Dabiré,Salif,M,1982-10-24,Tenkodogo,B29693361,+226 76 88 49 81,2026-08-25
BRK-2026-000168,Ouattara,Awa,F,1977-10-09,Nouna,B69034335,+226 72 64 89 56,2026-08-29
BRK-2026-000169,Kaboré,Salif,M,1983-05-26,Diébougou,B47911098,+226 78 45 82 47,2026-07-13
BRK-2026-000170,Ouattara,Salimata,F,1994-08-04,Kaya,B20673018,+226 72 38 52 71,2026-08-21
BRK-2026-000171,Somé,Karim,M,1994-11-19,Boromo,B47956193,+226 72 23 38 42,2026-08-24
BRK-2026-000172,Kagambega,Rihanata,F,1989-02-25,Ouahigouya,B67733973,+226 77 90 26 41,2026-08-03
BRK-2026-000173,Nikiema,Moussa,M,1978-11-27,Yako,B61973037,+226 78 56 91 33,2026-08-24
BRK-2026-000174,Ilboudo,Adama,M,1982-08-26,Tenkodogo,B58925338,+226 74 13 10 90,2026-07-28
BRK-2026-000175,Kagambega,Alimata,F,2005-04-24,Boromo,B85892806,+226 76 98 66 61,2026-09-04
BRK-2026-000176,Yaméogo,Kadiatou,F,2000-02-03,Manga,B47000087,+226 77 20 51 66,2026-08-10
BRK-2026-000177,Traoré,Rasmata,F,1997-09-26,Manga,B40998387,+226 77 63 60 74,2026-07-12
BRK-2026-000178,Nikiema,Habibata,F,1980-03-25,Banfora,B91742993,+226 72 41 80 43,2026-08-18
BRK-2026-000179,Bationo,Awa,F,2002-08-02,Pouytenga,B63889479,+226 72 36 62 17,2026-07-10
BRK-2026-000180,Ilboudo,Aminata,F,1975-04-08,Diébougou,B38630652,+226 71 50 91 43,2026-08-25
BRK-2026-000181,Ilboudo,Rasmané,M,1999-03-26,Réo,B15966623,+226 72 17 70 83,2026-07-09
BRK-2026-000182,Dabiré,Korotimi,F,1998-10-22,Fada N'Gourma,B46020639,+226 74 41 20 15,2026-08-12
BRK-2026-000183,Somé,Yacouba,M,1961-11-24,Tenkodogo,B37758074,+226 77 12 52 19,2026-07-20
BRK-2026-000184,Zoungrana,Bintou,F,1990-06-06,Ziniaré,B46106858,+226 71 62 56 95,2026-07-09
BRK-2026-000185,Compaoré,Assita,F,1987-10-22,Yako,B53130746,+226 76 18 84 31,2026-08-17
BRK-2026-000186,Kagambega,Fatimata,F,1982-04-02,Bobo-Dioulasso,B16220443,+226 78 50 42 91,2026-09-05
BRK-2026-000187,Bamogo,Kadiatou,F,1985-03-16,Diébougou,B92719466,+226 74 73 80 31,2026-08-06
BRK-2026-000188,Ilboudo,Alimata,F,1983-12-30,Fada N'Gourma,B67863867,+226 72 22 40 36,2026-08-17
BRK-2026-000189,Kagambega,Adama,M,1984-01-10,Yako,B68739443,+226 76 95 88 35,2026-09-03
BRK-2026-000190,Traoré,Alimata,F,2005-06-24,Nouna,B98443972,+226 78 28 51 74,2026-07-18
BRK-2026-000191,Sawadogo,Clarisse,F,1991-07-10,Bobo-Dioulasso,B21375632,+226 78 93 25 28,2026-09-01
BRK-2026-000192,Sana,Seydou,M,1997-07-23,Nouna,B41955010,+226 78 48 11 14,2026-08-03
BRK-2026-000193,Kagambega,Adama,M,1997-06-08,Fada N'Gourma,B18301133,+226 78 16 32 10,2026-08-11
BRK-2026-000194,Kagambega,Paul,M,1991-12-27,Gaoua,B97961538,+226 72 61 92 18,2026-07-23
BRK-2026-000195,Zongo,Nafissatou,F,1986-04-19,Boromo,B39409852,+226 78 92 96 80,2026-08-11
BRK-2026-000196,Tapsoba,Korotimi,F,1986-10-26,Diébougou,B25310031,+226 78 25 50 13,2026-07-11
BRK-2026-000197,Traoré,Moussa,M,1986-04-14,Ouagadougou,B64848137,+226 78 61 32 97,2026-08-03
BRK-2026-000198,Tapsoba,Assita,F,1995-06-21,Dori,B72745429,+226 78 50 55 31,2026-07-09
BRK-2026-000199,Bamogo,Boureima,M,1988-02-17,Gourcy,B25272515,+226 70 12 37 28,2026-07-14
BRK-2026-000200,Yaméogo,Aïcha,F,2000-08-29,Yako,B27047417,+226 76 42 14 87,2026-07-22
BRK-2026-000201,Bamogo,Rasmané,M,1989-04-20,Ouagadougou,B18233789,+226 71 26 58 29,2026-09-05
BRK-2026-000202,Bationo,Moussa,M,1989-12-30,Pouytenga,B35476704,+226 71 71 82 42,2026-08-01
BRK-2026-000203,Ouédraogo,Habibata,F,1998-06-28,Nouna,B93505866,+226 70 44 46 98,2026-08-04
BRK-2026-000204,Dabiré,Bintou,F,1998-06-01,Ziniaré,B89301278,+226 71 88 70 48,2026-08-31
BRK-2026-000205,Zoungrana,Issouf,M,1984-12-13,Nouna,B65739676,+226 77 39 39 63,2026-08-20
BRK-2026-000206,Sawadogo,Zenabou,F,1996-02-10,Bobo-Dioulasso,B16573354,+226 71 61 52 13,2026-07-09
BRK-2026-000207,Bamogo,Rasmané,M,1988-09-01,Dédougou,B13269647,+226 72 50 18 35,2026-08-27
BRK-2026-000208,Ouattara,Ousmane,M,1988-07-08,Yako,B67390852,+226 70 84 19 75,2026-07-31
BRK-2026-000209,Kafando,Aïcha,F,1998-01-21,Kaya,B20410769,+226 76 77 76 47,2026-08-09
BRK-2026-000210,Sana,Aminata,F,1996-03-18,Ouagadougou,B60586039,+226 70 61 36 82,2026-08-14
BRK-2026-000211,Kafando,Rihanata,F,2005-09-11,Tenkodogo,B50668237,+226 76 13 73 81,2026-09-06
BRK-2026-000212,Yaméogo,Habibata,F,1985-08-01,Banfora,B82343792,+226 74 13 96 42,2026-08-13
BRK-2026-000213,Nikiema,Awa,F,1977-08-01,Dori,B39275152,+226 77 25 77 53,2026-09-05
BRK-2026-000214,Compaoré,Yacouba,M,1984-03-26,Tenkodogo,B31008812,+226 71 35 12 77,2026-09-06
BRK-2026-000215,Sawadogo,Wendkuni,F,1999-08-06,Ouahigouya,B36917265,+226 76 92 68 85,2026-07-26
BRK-2026-000216,Traoré,Awa,F,1989-09-15,Dédougou,B44363519,+226 70 37 24 66,2026-09-02
BRK-2026-000217,Sawadogo,Zakaria,M,1982-07-23,Gourcy,B80783655,+226 78 59 74 46,2026-07-17
BRK-2026-000218,Traoré,Wendkuni,F,1996-06-09,Ziniaré,B45310727,+226 74 71 72 48,2026-08-06
BRK-2026-000219,Somé,Ibrahim,M,1976-11-03,Ouahigouya,B14283986,+226 74 81 91 77,2026-08-24
BRK-2026-000220,Compaoré,Wendkuni,F,1977-11-11,Gaoua,B64750546,+226 78 34 97 92,2026-08-06
BRK-2026-000221,Tapsoba,Yacouba,M,1993-09-05,Boromo,B69720788,+226 76 81 40 11,2026-07-11
BRK-2026-000222,Traoré,Aïcha,F,1999-08-12,Réo,B60006755,+226 76 22 88 84,2026-07-27
BRK-2026-000223,Dabiré,Amadou,M,1992-06-12,Kaya,B77757301,+226 71 52 42 82,2026-07-13
BRK-2026-000224,Ilboudo,Boukary,M,1974-09-17,Dédougou,B24896560,+226 71 60 34 76,2026-08-27
BRK-2026-000225,Congo,Aïcha,F,1969-05-05,Gaoua,B27284561,+226 77 49 47 44,2026-08-21
BRK-2026-000226,Ilboudo,Clarisse,F,1988-08-14,Pouytenga,B25740658,+226 71 88 34 18,2026-08-18
BRK-2026-000227,Kaboré,Clarisse,F,1988-05-28,Yako,B57306285,+226 72 50 98 93,2026-09-03
BRK-2026-000228,Kafando,Zakaria,M,1991-02-11,Banfora,B23637957,+226 78 68 83 40,2026-07-12
BRK-2026-000229,Bationo,Salimata,F,1985-01-24,Boromo,B12753040,+226 77 53 92 29,2026-07-27
BRK-2026-000230,Congo,Idrissa,M,2006-06-12,Banfora,B83378259,+226 77 77 35 67,2026-08-02
BRK-2026-000231,Nikiema,Nafissatou,F,1996-09-17,Pouytenga,B85533791,+226 71 73 39 18,2026-07-26
BRK-2026-000232,Somé,Amadou,M,1994-11-09,Manga,B85354471,+226 71 45 51 84,2026-08-05
BRK-2026-000233,Tapsoba,Aïcha,F,1983-08-23,Ziniaré,B96914551,+226 77 10 86 30,2026-07-15
